"name","link","venue","date","surface"
"Brisbane","/en/tournaments/brisbane/339/overview","Brisbane, Australia","2015.01.04 - 2015.01.11","Outdoor Hard"
"Doha","/en/tournaments/doha/451/overview","Doha, Qatar","2015.01.05 - 2015.01.10","Outdoor Hard"
"Chennai","/en/tournaments/chennai/891/overview","Chennai, India","2015.01.05 - 2015.01.11","Outdoor Hard"
"Sydney","/en/tournaments/sydney/338/overview","Sydney, Australia","2015.01.11 - 2015.01.17","Outdoor Hard"
"Auckland","/en/tournaments/auckland/301/overview","Auckland, New Zealand","2015.01.12 - 2015.01.17","Outdoor Hard"
"Australian Open","/en/tournaments/australian-open/580/overview","Melbourne, Australia","2015.01.19 - 2015.02.01","Outdoor Hard"
"Quito","/en/tournaments/quito/7161/overview","Quito, Ecuador","2015.02.02 - 2015.02.08","Outdoor Clay"
"Montpellier","/en/tournaments/montpellier/375/overview","Montpellier, France","2015.02.02 - 2015.02.08","Indoor Hard"
"Zagreb","/en/tournaments/zagreb/2276/overview","Zagreb, Croatia","2015.02.02 - 2015.02.08","Indoor Hard"
"Rotterdam","/en/tournaments/rotterdam/407/overview","Rotterdam, Netherlands","2015.02.09 - 2015.02.15","Indoor Hard"
"Memphis","/en/tournaments/memphis/402/overview","Memphis, TN, U.S.A.","2015.02.09 - 2015.02.15","Indoor Hard"
"Sao Paulo","/en/tournaments/sao-paulo/533/overview","Sao Paulo, Brazil","2015.02.09 - 2015.02.15","Indoor Clay"
"Rio de Janeiro","/en/tournaments/rio-de-janeiro/6932/overview","Rio de Janeiro, Brazil","2015.02.16 - 2015.02.22","Outdoor Clay"
"Marseille","/en/tournaments/marseille/496/overview","Marseille, France","2015.02.16 - 2015.02.22","Indoor Hard"
"Delray Beach","/en/tournaments/delray-beach/499/overview","Delray Beach, FL, U.S.A.","2015.02.16 - 2015.02.22","Outdoor Hard"
"Buenos Aires","/en/tournaments/buenos-aires/506/overview","Buenos Aires, Argentina","2015.02.23 - 2015.03.01","Outdoor Clay"
"Acapulco","/en/tournaments/acapulco/807/overview","Acapulco, Mexico","2015.02.23 - 2015.02.28","Outdoor Hard"
"Dubai","/en/tournaments/dubai/495/overview","Dubai, U.A.E.","2015.02.23 - 2015.02.28","Outdoor Hard"
"ATP World Tour Masters 1000 Indian Wells","/en/tournaments/indian-wells/404/overview","Indian Wells, CA, U.S.A.","2015.03.12 - 2015.03.22","Outdoor Hard"
"ATP World Tour Masters 1000 Miami","/en/tournaments/miami/403/overview","Miami, FL, U.S.A.","2015.03.25 - 2015.04.05","Outdoor Hard"
"Casablanca","/en/tournaments/casablanca/360/overview","Casablanca, Morocco","2015.04.06 - 2015.04.12","Outdoor Clay"
"Houston","/en/tournaments/houston/717/overview","Houston, TX, U.S.A.","2015.04.06 - 2015.04.12","Outdoor Clay"
"ATP World Tour Masters 1000 Monte Carlo","/en/tournaments/monte-carlo/410/overview","Monte-Carlo, Monaco","2015.04.12 - 2015.04.19","Outdoor Clay"
"Barcelona","/en/tournaments/barcelona/425/overview","Barcelona, Spain","2015.04.20 - 2015.04.26","Outdoor Clay"
"Bucharest","/en/tournaments/bucharest/773/overview","Bucharest, Romania","2015.04.20 - 2015.04.26","Outdoor Clay"
"Munich","/en/tournaments/munich/308/overview","Munich, Germany","2015.04.27 - 2015.05.03","Outdoor Clay"
"Estoril","/en/tournaments/estoril/7290/overview","Estoril, Portugal","2015.04.27 - 2015.05.03","Outdoor Clay"
"Istanbul","/en/tournaments/istanbul/7163/overview","Istanbul, Turkey","2015.04.27 - 2015.05.03","Outdoor Clay"
"ATP World Tour Masters 1000 Madrid","/en/tournaments/madrid/1536/overview","Madrid, Spain","2015.05.03 - 2015.05.10","Outdoor Clay"
"ATP World Tour Masters 1000 Rome","/en/tournaments/rome/416/overview","Rome, Italy","2015.05.10 - 2015.05.17","Outdoor Clay"
"Geneva","/en/tournaments/geneva/322/overview","Geneva, Switzerland","2015.05.17 - 2015.05.24","Outdoor Clay"
"Nice","/en/tournaments/nice/6120/overview","Nice, France","2015.05.17 - 2015.05.24","Outdoor Clay"
"Roland Garros","/en/tournaments/roland-garros/520/overview","Paris, France","2015.05.24 - 2015.06.07","Outdoor Clay"
"Stuttgart","/en/tournaments/stuttgart/321/overview","Stuttgart, Germany","2015.06.08 - 2015.06.14","Outdoor Grass"
"s-Hertogenbosch","/en/tournaments/s-hertogenbosch/440/overview","s-Hertogenbosch, Netherlands","2015.06.08 - 2015.06.14","Outdoor Grass"
"Halle","/en/tournaments/halle/500/overview","Halle, Germany","2015.06.15 - 2015.06.21","Outdoor Grass"
"London / Queen's Club","/en/tournaments/london/311/overview","London, Great Britain","2015.06.15 - 2015.06.21","Outdoor Grass"
"Nottingham","/en/tournaments/nottingham/741/overview","Nottingham, Great Britain","2015.06.21 - 2015.06.28","Outdoor Grass"
"Wimbledon","/en/tournaments/wimbledon/540/overview","London, Great Britain","2015.06.29 - 2015.07.12","Outdoor Grass"
